Protein,Len,S0,S0,S1,S1,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
m.11921,315,2,2,0,2,5.68,0.6963,0.742164,0.435166,0.938521
m.37962,437,0,1,1,2,-0.191,-0.0255,0.978483,0.655661,0.966424
m.37963,226,2,2,1,2,10.725,1.7103,0.321331,0.140067,0.859478
m.38034,178,0,0,0,1,6.775,0.9951,0.581433,0.334408,0.914965
m.38037,198,10,11,8,10,1.849,0.4973,0.816334,0.501956,0.951644
m.38038,462,6,9,6,7,-19.498,-2.4456,0.657464,0.820732,0.411368
m.38073,190,2,2,3,3,-2.784,-0.248,0.999825,0.705608,0.961428
m.3808,609,22,26,19,24,4.434,1.4392,0.376242,0.20871,0.875929
m.3817,410,1,1,0,2,6.492,0.6096,0.775544,0.464688,0.944467
m.38264,113,0,0,0,2,-9.189,-0.888,0.994454,0.786957,0.929629
m.38396,326,0,0,0,1,-0.746,-0.0788,0.986718,0.668672,0.965767
m.384,422,95,92,84,101,7.568,4.0358,0.000303,0.000042,0.820065
m.38468,195,2,3,0,3,-0.136,-0.0277,0.978856,0.65621,0.966404
m.38478,153,0,0,0,1,4.047,0.8046,0.692252,0.397907,0.930618
m.38537,209,0,0,0,0,-4.248,-0.5953,0.984295,0.759373,0.947585
m.38571,236,0,1,0,0,-6.198,-0.4979,0.98928,0.747128,0.951696
m.386,335,1,2,1,3,-1.226,-0.215,0.998915,0.69895,0.9625
m.3861,463,0,0,0,1,3.286,0.3142,0.885196,0.560003,0.961069
m.3871,422,0,1,1,4,-2.363,-0.5269,0.987529,0.750979,0.950493
m.38847,116,0,0,0,1,-4.81,-0.5336,0.987148,0.751843,0.950214
m.39,352,0,0,0,0,-1.473,-0.2761,0.999996,0.711061,0.96045
m.3914,142,2,3,2,3,-0.17,-0.0318,0.979547,0.657231,0.966366
m.3936,244,3,2,2,3,-1.174,-0.2069,0.998571,0.697274,0.962749
m.395,594,4,3,4,7,-1.266,-0.386,0.996371,0.730456,0.956251
m.3953,259,0,1,0,2,8.317,1.2196,0.458268,0.267317,0.894475
m.3970,459,0,0,0,1,-3.619,-0.6085,0.983865,0.760889,0.947005
m.3978,582,3,4,2,4,5.933,1.2885,0.428101,0.248377,0.888308
m.3981,180,5,5,3,4,1.603,0.419,0.845631,0.527198,0.956118
m.10093,673,1,1,0,1,-9.826,-1.2648,0.999999,0.80899,0.873324
m.11960,265,0,0,0,0,-4.585,-0.7444,0.984293,0.774832,0.940212
m.3991,359,1,1,1,1,0.432,0.0426,0.965442,0.638153,0.966694
m.4,1370,4,5,6,8,4.517,1.2605,0.439882,0.255997,0.890787
m.4026,349,3,2,3,5,9.115,1.1105,0.513924,0.298794,0.904509
m.405,356,1,0,0,0,-5.375,-0.6861,0.982962,0.769196,0.943362
m.408,537,1,1,0,2,-1.538,-0.3975,0.995711,0.732308,0.95579
m.4092,124,11,17,10,13,-2.992,-0.431,0.993633,0.73752,0.954436
m.4111,173,1,0,0,1,-0.305,-0.0394,0.980802,0.659114,0.966289
m.4131,303,0,1,1,0,-1.193,-0.2005,0.998264,0.695938,0.962942
m.416,307,2,2,2,5,-3.152,-0.562,0.985678,0.755403,0.949018
m.4166,132,0,0,0,0,-4.065,-0.4233,0.994123,0.736346,0.954748
m.11993,245,0,0,0,1,8.269,0.6696,0.752884,0.444311,0.940385
m.4192,379,3,2,2,5,-8.869,-1.5453,0.943306,0.817349,0.802451
m.4199,411,2,1,0,1,-14.27,-2.5934,0.497265,0.819996,0.344368
m.4212,929,13,13,14,11,13.544,1.7556,0.31131,0.129085,0.857456
m.4224,397,6,6,3,8,-6.593,-0.9095,0.996584,0.788591,0.927559
m.4229,273,3,4,2,5,-6.923,-0.7547,0.984712,0.77578,0.939603
m.423,229,6,8,8,9,-2.717,-0.777,0.985802,0.777787,0.938219
m.4233,452,1,1,0,1,-5.409,-0.9787,1,0.793552,0.919888
m.4250,288,19,23,14,18,4.156,1.4086,0.385178,0.216625,0.878284
m.426,811,8,10,5,12,1.197,0.219,0.918333,0.588698,0.964277
m.12002,156,1,1,0,0,-0.189,-0.0264,0.978636,0.655886,0.966416
m.427,250,1,0,1,3,-6.981,-1.1627,1,0.804326,0.893123
m.428,332,0,1,2,3,1.373,0.2367,0.912522,0.583454,0.963781
m.4304,248,0,1,0,1,-9.214,-1.234,0.999999,0.807671,0.879736
m.431,153,0,0,0,0,-1.553,-0.1709,0.996448,0.689631,0.963781
m.4326,136,1,3,2,2,-4.55,-0.5848,0.984686,0.758144,0.948041
m.12007,433,5,4,4,9,-4.16,-1.3606,0.993627,0.812638,0.850772
m.4327,322,2,2,0,2,-2.401,-0.537,0.986962,0.752278,0.950071
m.4353,392,3,4,3,4,-0.705,-0.167,0.996159,0.688784,0.963885
m.4356,640,4,4,4,6,7.301,1.2831,0.430321,0.249839,0.888783
m.4358,403,1,1,0,0,-12.078,-1.7226,0.905182,0.819631,0.751201
m.437,429,2,2,1,4,-6.019,-0.8349,0.989725,0.782731,0.934137
m.4377,263,0,1,0,1,5.315,0.7567,0.715743,0.414384,0.934188
m.4386,383,1,0,1,1,-1.256,-0.1294,0.992808,0.680432,0.964801
m.4387,576,0,0,0,0,-4.708,-0.792,0.986674,0.779104,0.937234
m.12009,511,1,0,0,0,6.757,1.1993,0.467906,0.273026,0.896327
m.441,423,10,8,7,11,13.432,3.4828,0.003652,0.000644,0.822241
m.4416,678,0,0,0,0,-3.305,-0.5092,0.988578,0.748651,0.951229
m.443,202,1,2,1,2,-11.656,-0.9412,0.999795,0.790924,0.924219
m.444,342,0,2,0,1,-0.024,-0.0036,0.97459,0.650136,0.966582
m.4453,365,1,2,1,3,1.842,0.2407,0.911184,0.582262,0.963662
m.4533,744,1,1,1,1,8.068,1.983,0.220368,0.081102,0.848876
m.454,722,0,1,0,0,-4.567,-0.6822,0.982936,0.768801,0.943557
m.12035,180,2,1,1,2,7.096,1.0855,0.527932,0.3063,0.906808
m.4567,294,0,0,0,1,-3.782,-0.547,0.986426,0.753543,0.949652
m.458,572,0,1,0,1,-4.432,-0.9225,0.99791,0.789559,0.926232
m.459,339,5,7,4,2,11.236,2.0173,0.203227,0.075238,0.847667
m.4593,1009,1,2,2,5,-2.391,-0.319,0.999294,0.718998,0.958868
m.460,402,9,8,7,9,-10.858,-1.4062,0.982444,0.814086,0.839185
m.461,891,1,1,1,3,6.866,1.3434,0.406932,0.233699,0.883588
m.4616,493,0,0,0,2,-2.594,-0.2941,0.999834,0.714448,0.959798
m.462,353,4,4,2,4,2.656,0.2273,0.915631,0.586244,0.96405
m.12048,569,7,10,5,9,-3.454,-0.5874,0.984582,0.75845,0.947929
m.4637,291,0,0,0,0,-5.894,-0.8635,0.992162,0.785042,0.931811
m.4641,249,0,0,0,0,-1.446,-0.2095,0.998687,0.697813,0.96267
m.4694,414,11,11,11,16,-9.154,-2.1343,0.825196,0.821253,0.580104
m.471,360,0,0,0,0,-2.047,-0.3967,0.995758,0.732181,0.955822
m.4728,213,6,7,2,3,-2.539,-0.3755,0.99694,0.728735,0.956669
m.473,628,7,5,8,12,13.273,1.5559,0.34905,0.178848,0.867855
m.4733,390,0,0,0,1,1.933,0.4209,0.844909,0.526593,0.956016
m.12056,309,1,2,1,2,-2.331,-0.3709,0.99718,0.727972,0.956852
m.4747,349,9,11,6,10,5.201,1.4418,0.37552,0.20804,0.875733
m.4759,223,3,6,4,5,3.084,0.4249,0.843393,0.525317,0.955801
m.4808,367,0,0,0,1,0.061,0.0065,0.972698,0.647554,0.966632
m.481,1150,8,7,12,15,7.159,1.489,0.363387,0.195918,0.872301
m.4811,467,0,0,0,0,-16.312,-2.1287,0.826832,0.821251,0.582962
m.4855,1250,1,2,1,0,-6.501,-0.8079,0.987712,0.780472,0.936137
m.4863,154,0,0,0,1,-13.669,-1.7588,0.899858,0.819932,0.739497
m.4876,497,7,5,7,7,1.616,0.3077,0.887585,0.561998,0.96133
m.4878,331,14,19,12,15,-6.973,-1.6392,0.920319,0.818753,0.776296
m.4883,240,0,0,1,2,9.27,1.0928,0.523797,0.304096,0.906138
m.4889,468,1,1,0,2,-10.875,-1.047,1,0.797943,0.911101
m.4892,422,0,0,0,0,3.063,0.3286,0.879859,0.555565,0.960472
m.4897,319,8,9,6,10,2.801,0.6449,0.762405,0.452732,0.942083
m.4900,202,5,4,5,6,-8.001,-1.9641,0.868068,0.821,0.660908
m.4903,2982,1,2,1,2,8.815,1.3455,0.406174,0.233144,0.883411
m.491,248,7,9,5,11,-4.228,-0.846,0.990638,0.783638,0.933261
m.4911,552,55,61,60,64,-3.896,-1.8905,0.881367,0.820726,0.691585
m.4921,158,4,5,5,6,4.435,0.7571,0.715556,0.414247,0.934158
m.12097,491,0,0,0,0,-8.857,-2.0333,0.852453,0.821161,0.629628
m.4923,315,12,11,8,11,-7.84,-2.6089,0.48065,0.819899,0.338689
m.494,400,6,4,4,6,9.855,2.5168,0.071216,0.022789,0.832533
m.4943,647,32,35,28,27,9.855,4.0998,0.000207,0.00003,0.819859
m.4946,322,0,0,0,1,5.912,1.0418,0.553338,0.319698,0.910791
m.4958,221,0,0,0,0,5.112,1.0677,0.53815,0.311714,0.908438
m.4968,676,0,1,0,1,13.585,1.6254,0.336577,0.161235,0.863771
m.4974,208,6,2,3,6,9.048,0.8282,0.679826,0.389824,0.928809
m.4978,368,24,28,24,26,8.534,2.7445,0.046051,0.011305,0.8288
m.4988,204,3,2,2,2,11.053,1.6667,0.329461,0.150868,0.861593
m.10111,222,0,1,0,1,-4.609,-0.6574,0.982954,0.766238,0.944766
m.1215,381,8,7,4,7,-0.21,-0.0343,0.979965,0.657852,0.966342
m.4990,351,1,0,0,0,-11.691,-1.5107,0.953001,0.816685,0.811761
m.4998,325,1,2,2,2,3.606,0.8371,0.675002,0.386785,0.928118
m.500,227,0,0,1,0,-2.67,-0.3805,0.996673,0.729558,0.95647
m.5005,481,20,20,18,23,-1.639,-0.5797,0.984892,0.75754,0.948261
m.5012,2350,85,88,76,86,1.282,1.2032,0.466029,0.271924,0.89597
m.5020,224,7,8,7,9,-5.715,-1.6589,0.916302,0.818987,0.770567
m.5022,151,12,12,10,15,2.96,1.4804,0.365463,0.198121,0.872909
m.5026,617,0,0,0,0,-4.107,-0.4363,0.993289,0.73832,0.95422
m.5028,1007,17,24,20,19,9.919,1.926,0.248572,0.091706,0.850899
m.12175,403,3,3,2,5,2.517,0.3773,0.861489,0.540389,0.95825
m.5036,327,1,1,1,2,-0.193,-0.02,0.977533,0.654283,0.96647
m.5038,1493,0,0,0,0,9.03,0.9241,0.624656,0.357506,0.92108
m.5056,403,4,4,2,2,-4.266,-0.6469,0.983054,0.765124,0.945261
m.5061,506,12,13,11,12,1.653,0.3266,0.880604,0.556183,0.960557
m.5062,346,10,10,10,12,2.015,0.5868,0.78385,0.472353,0.945978
m.5064,342,8,6,6,10,-2.426,-0.2681,1,0.709528,0.960734
m.5076,1105,2,3,2,5,6.541,1.0994,0.520091,0.302113,0.905531
m.508,371,4,3,4,6,-0.387,-0.0347,0.980031,0.657951,0.966338
m.5080,107,2,0,2,4,-14.209,-1.9208,0.876296,0.820853,0.679291
m.5081,198,4,4,3,7,-13.765,-1.6097,0.926884,0.818367,0.784692
m.12185,535,2,1,1,4,3.618,0.3317,0.878703,0.554607,0.96034
m.5109,131,1,1,1,1,-8.155,-1.1521,1,0.803792,0.894953
m.5113,272,5,6,3,10,-7.267,-1.5577,0.939953,0.817566,0.79908
m.5120,694,19,17,20,20,-0.688,-0.3542,0.997986,0.725159,0.95751
m.5128,376,3,3,3,4,9.943,1.5621,0.347862,0.177271,0.867468
m.5142,151,6,5,6,5,-2.34,-0.6536,0.982984,0.765837,0.944946
m.5146,126,6,6,5,5,5.309,0.6112,0.774957,0.464148,0.94436
m.5147,416,7,7,5,9,1.026,0.2791,0.897908,0.570718,0.962404
m.5148,167,2,4,2,3,0.793,0.0841,0.95613,0.627024,0.966535
m.515,303,0,1,2,4,-24.838,-2.1956,0.80613,0.82124,0.548031
m.12229,471,22,25,23,28,2.817,1.0997,0.519924,0.302023,0.905503
m.5150,488,2,1,1,3,-4.84,-0.8181,0.988437,0.781335,0.935402
m.5161,451,4,4,2,4,2.728,0.3151,0.884864,0.559726,0.961033
m.5172,212,0,0,0,0,1.266,0.16,0.936307,0.605837,0.965595
m.5182,409,11,11,10,13,-8.705,-1.3029,0.999999,0.810524,0.864818
m.5185,122,0,1,0,0,-6.487,-0.5142,0.988274,0.749315,0.951021
m.5186,242,41,47,37,45,1.51,0.8811,0.650162,0.371867,0.924623
m.519,515,7,9,5,12,-12.221,-1.6945,0.909761,0.819366,0.759919
m.5191,2106,6,9,5,14,6.332,1.4598,0.370677,0.203407,0.874397
m.5199,639,1,1,1,3,8.637,1.4125,0.383994,0.215614,0.877979
m.1223,739,2,2,2,5,-7.017,-1.4483,0.970907,0.815249,0.828262
m.5216,1018,0,0,1,1,-7.182,-1.2413,0.999999,0.80799,0.878252
m.5248,375,0,0,0,2,2.22,0.4138,0.847605,0.528852,0.956394
m.5250,227,2,3,2,2,9.281,0.8463,0.669939,0.383651,0.927398
m.5253,335,23,26,24,27,0.033,0.0153,0.971001,0.645287,0.966664
m.5256,138,3,4,2,4,-5.28,-0.6419,0.98312,0.764587,0.945493
m.5258,222,1,1,1,3,9.149,1.295,0.42546,0.246622,0.887739
m.5266,746,0,0,0,0,7.431,1.0237,0.564139,0.325352,0.912421
m.5277,148,1,1,2,2,10.347,1.3389,0.408569,0.234891,0.883967
m.12238,232,14,14,11,12,5.545,1.2202,0.457989,0.267149,0.89442
m.5288,344,0,0,0,0,-6.748,-1.0508,1,0.798173,0.910576
m.5290,1690,17,16,16,19,6.91,3.3675,0.005503,0.001061,0.822952
m.5296,670,0,0,0,3,-5.167,-0.4765,0.990649,0.744167,0.952577
m.5305,270,4,3,3,3,-2.398,-0.5098,0.98854,0.748731,0.951204
m.5309,1972,135,142,114,154,-0.893,-0.571,0.985265,0.756497,0.948634
m.531,580,11,13,6,9,6.187,2.2135,0.124341,0.048531,0.840856
m.5315,882,6,7,6,11,-1.444,-0.3607,0.997683,0.726263,0.957255
m.532,113,4,4,4,2,-11.792,-1.0474,1,0.797967,0.911046
m.534,225,5,7,2,4,-5.317,-0.7359,0.983988,0.774039,0.940701
m.5346,119,0,1,1,2,-6.462,-1.4867,0.959896,0.816171,0.818149
m.1225,1047,0,0,0,0,5.189,0.8165,0.686054,0.393827,0.92971
m.5352,328,1,2,1,1,7.695,0.9052,0.635981,0.363787,0.922653
m.5354,547,11,11,7,10,-1.789,-0.3032,0.999677,0.716129,0.959462
m.5364,172,8,7,8,7,-0.837,-0.2047,0.998469,0.696816,0.962816
m.5369,500,2,5,3,5,6,0.7709,0.709024,0.409494,0.933143
m.5376,135,0,0,0,0,2.246,0.2867,0.895196,0.56841,0.96213
m.5382,195,2,3,3,4,-5.998,-1.0463,1,0.7979,0.911197
m.5390,842,2,3,3,5,-17.129,-2.2292,0.79434,0.821214,0.529903
m.5400,164,3,4,3,5,-3.972,-0.8522,0.991165,0.784139,0.932757
m.12306,644,0,0,0,1,-4.1,-0.6009,0.984103,0.76002,0.94734
m.5401,114,0,0,0,0,-6.211,-0.6719,0.982906,0.767748,0.944066
m.5403,461,9,14,9,14,12.858,2.4986,0.073289,0.023973,0.832914
m.5407,595,5,5,5,5,1.584,0.299,0.890759,0.564661,0.961669
m.5413,216,1,1,1,1,-4.133,-0.5228,0.987766,0.750446,0.950664
m.5415,188,3,2,2,2,-11.926,-1.3748,0.990333,0.81311,0.847196
m.5416,476,1,1,1,4,5.543,0.6463,0.761874,0.452256,0.941988
m.5422,1121,6,4,3,5,-8.165,-1.1411,1,0.803228,0.896809
m.5425,415,26,30,22,24,-8.065,-2.1583,0.818013,0.821253,0.567714
m.5441,307,3,3,3,3,-0.623,-0.1498,0.994755,0.685005,0.964324
m.5442,167,14,13,10,17,1,0.2922,0.893219,0.566736,0.961927
m.12334,1458,3,3,4,1,-6.823,-0.7719,0.98553,0.777334,0.938544
m.5459,641,0,0,0,0,-6.722,-0.7067,0.983228,0.771242,0.9423
m.5465,622,6,6,9,8,1.411,0.2128,0.920325,0.590524,0.96444
m.5473,170,0,2,0,3,-6.508,-0.8718,0.992919,0.785697,0.931092
m.5478,219,0,0,0,1,7.506,0.9931,0.58265,0.335047,0.915142
m.5484,707,0,0,0,1,-5.89,-0.6003,0.984123,0.759951,0.947367
m.5487,105,2,3,2,3,-0.844,-0.1436,0.994194,0.683626,0.964474
m.5493,248,0,0,0,1,-9.694,-1.4016,0.983645,0.813949,0.840367
m.550,489,24,29,22,26,11.128,3.073,0.016563,0.003459,0.82528
m.5507,231,2,0,1,3,0.75,0.1427,0.941153,0.610756,0.965884
m.1235,511,1,0,1,6,10.055,2.047,0.188799,0.07047,0.846622
m.5516,387,0,1,2,1,-3.044,-0.4708,0.991024,0.743361,0.952811
m.552,338,3,3,3,4,7.62,1.1316,0.502441,0.292548,0.902562
m.5522,429,2,2,2,3,-8.166,-1.0232,1,0.796469,0.914302
m.5525,456,10,10,10,14,5.331,1.4105,0.384599,0.216132,0.878135
m.5528,192,2,2,3,2,-3.858,-0.9164,0.997284,0.789106,0.926862
m.5538,480,11,12,9,11,8.753,1.074,0.534511,0.309791,0.907862
m.5566,116,1,1,1,2,-0.528,-0.081,0.987018,0.669195,0.965731
m.5583,175,3,4,2,4,-13.126,-1.4514,0.970029,0.815328,0.827451
m.5593,175,0,1,1,1,-11.062,-1.102,1,0.801134,0.903082
m.1013,969,0,0,0,0,1.609,0.1723,0.932744,0.602309,0.965363
m.56,236,5,6,5,8,14.056,3.0769,0.016327,0.003408,0.825245
m.5603,203,2,2,0,2,-0.223,-0.0289,0.979061,0.656509,0.966393
m.5605,166,4,5,5,4,16.504,2.5211,0.070732,0.022515,0.832445
m.5606,190,4,4,3,5,-0.849,-0.1499,0.994764,0.685027,0.964321
m.5611,317,11,14,12,16,-12.283,-1.6251,0.923375,0.818574,0.780334
m.5613,134,2,2,1,3,-10.243,-0.8234,0.98883,0.781779,0.935011
m.5620,959,1,2,1,3,0.024,0.0035,0.973268,0.648324,0.966618
m.5624,813,8,10,6,9,-3.78,-1.4719,0.964163,0.815831,0.822063
m.5628,431,18,26,22,31,-2.49,-0.7046,0.98319,0.771036,0.942411
m.1238,450,3,2,2,5,-8.333,-1.1423,1,0.80329,0.896609
m.5643,338,3,4,3,3,5.706,0.7108,0.736118,0.430185,0.937496
m.5644,430,8,14,8,14,3.895,1.4815,0.365194,0.197839,0.87283
m.5659,127,2,4,3,6,6.164,0.6986,0.741216,0.434376,0.938359
m.5664,242,7,8,7,6,-9.029,-2.1449,0.82206,0.821254,0.574659
m.5665,346,7,8,5,9,-2.5,-0.3371,0.998692,0.722205,0.958175
m.5672,207,0,0,1,1,-6.32,-0.6431,0.983104,0.764716,0.945438
m.5676,297,1,2,0,2,-0.464,-0.0498,0.982459,0.66167,0.966172
m.5677,398,6,7,6,6,-0.611,-0.134,0.993273,0.681472,0.964697
m.5680,200,0,0,0,1,4.368,0.8563,0.664354,0.380252,0.926609
m.12417,694,1,1,0,1,-4.999,-1.0157,1,0.795992,0.915279
m.5686,252,1,0,1,1,9.449,1.1333,0.501532,0.292048,0.902405
m.5692,394,0,0,0,1,-2.754,-0.458,0.991866,0.741523,0.953335
m.5724,205,1,3,2,3,-5.149,-1.0745,1,0.799575,0.907204
m.5752,384,0,0,0,1,2.915,0.3485,0.872399,0.549395,0.959601
m.5753,396,1,3,1,3,8.448,2.0814,0.172951,0.065296,0.845413
m.5755,241,1,2,1,2,14.121,1.7314,0.31692,0.134915,0.858515
m.579,570,12,16,11,13,0.493,0.1183,0.947656,0.617605,0.966216
m.580,344,15,15,16,19,2.161,0.9027,0.637466,0.364622,0.922859
m.1249,263,8,8,6,8,2.075,0.6804,0.748607,0.440616,0.939635
m.5803,326,0,0,0,1,-10.102,-1.3392,0.998218,0.811888,0.856096
m.5804,1293,4,6,6,10,5.913,0.9181,0.628267,0.359494,0.921582
m.5811,486,17,18,14,18,-2.986,-0.5061,0.988767,0.748236,0.951357
m.5859,199,5,5,4,7,11.129,1.81,0.295926,0.116365,0.855221
m.5862,284,2,5,3,4,-0.129,-0.0145,0.976564,0.652899,0.966511
m.5867,472,4,5,2,5,1.27,0.1304,0.944479,0.614221,0.966062
m.5869,404,2,2,2,4,0.991,0.2838,0.896235,0.569292,0.962236
m.5870,1080,10,11,7,13,-1.65,-0.458,0.991866,0.741523,0.953335
m.5891,357,1,1,1,2,6.086,0.6633,0.755345,0.446463,0.940821
m.12517,148,0,0,0,0,-1.815,-0.2235,0.999226,0.700691,0.962232
m.5900,332,0,1,0,1,-11.654,-1.8147,0.892285,0.820322,0.720237
m.592,568,0,0,0,1,1.913,0.2577,0.905398,0.577175,0.963132
m.5924,163,4,3,3,3,2.693,0.5525,0.796246,0.483791,0.948204
m.5940,470,12,11,8,12,8.786,1.4168,0.382703,0.214499,0.877644
m.5946,412,3,3,3,4,4.176,0.6304,0.767857,0.457656,0.943069
m.5947,328,1,1,2,3,15.275,2.8618,0.033635,0.00755,0.827384
m.595,591,3,5,4,8,-8.141,-1.7451,0.90181,0.819823,0.743993
m.5953,1295,24,29,18,27,-4.496,-1.2577,0.999999,0.808692,0.874838
m.12521,914,11,11,11,16,1.8,0.5128,0.810653,0.496886,0.950698
m.5961,726,31,42,25,30,3.806,1.0035,0.576331,0.331733,0.914222
m.5981,145,4,4,4,3,-4.7,-1.2369,0.999999,0.807798,0.879149
m.6000,281,8,10,5,10,8.191,1.8776,0.270569,0.101526,0.852652
m.6006,339,25,32,22,30,-2.758,-1.0125,1,0.795787,0.915692
m.6024,399,1,2,2,4,-10.088,-1.493,0.958079,0.816311,0.816478
m.6025,191,4,6,4,5,-1.12,-0.1257,0.992424,0.679592,0.964882
m.604,626,10,10,10,12,-0.992,-0.1598,0.995599,0.687211,0.964073
m.6042,807,0,0,0,1,-2.178,-0.4351,0.993368,0.738139,0.954269
m.12550,201,3,2,3,4,-8.817,-1.6191,0.924721,0.818495,0.782038
m.6046,318,1,2,1,2,-12.376,-2.6918,0.401088,0.819332,0.313412
m.6058,1126,0,0,0,0,-2.127,-0.3394,0.998606,0.722607,0.958087
m.606,401,16,15,14,15,-0.429,-0.2011,0.998293,0.696064,0.962924
m.6062,535,6,6,6,6,-1.759,-0.2986,0.999762,0.715282,0.959633
m.6067,290,2,1,0,2,-1.871,-0.3282,0.999009,0.720639,0.958518
m.6076,413,0,0,0,0,-3.42,-0.3003,0.999733,0.715596,0.95957
m.6093,277,0,0,0,1,1.305,0.2286,0.915203,0.585859,0.964014
m.6098,224,0,0,0,1,-2.938,-0.3906,0.996111,0.731201,0.956067
m.611,550,3,4,3,6,0.202,0.0434,0.965273,0.637942,0.966693
m.6130,287,14,13,9,10,-2.127,-0.3134,0.999445,0.717988,0.95908
m.12589,426,2,2,2,4,-3.397,-0.8632,0.992134,0.785018,0.931836
m.6137,829,1,1,1,1,-13.196,-1.134,1,0.802858,0.897986
m.6149,834,8,5,5,7,-13.149,-3.0583,0.273774,0.817093,0.297785
m.6153,459,3,5,3,5,-1.294,-0.2536,0.999901,0.70671,0.961237
m.6160,246,4,4,4,7,-0.008,-0.0009,0.974092,0.649448,0.966596
m.6161,297,0,1,0,1,-1.449,-0.1416,0.994009,0.683179,0.964521
m.6174,243,17,19,17,22,-7.515,-2.1286,0.826862,0.821251,0.583013
m.6192,463,11,10,12,7,12.418,3.6441,0.002049,0.000307,0.821444
m.6207,485,0,1,0,0,-1.056,-0.1319,0.993064,0.680998,0.964745
m.6212,640,21,31,19,28,-1.341,-0.4722,0.990932,0.74356,0.952753
m.12606,311,1,0,0,0,-0.304,-0.0389,0.98072,0.65899,0.966295
m.6219,1290,0,1,0,2,8.35,1.1182,0.509696,0.296506,0.903799
m.6233,239,2,3,2,4,4.499,0.684,0.747164,0.439384,0.939384
m.6235,1030,0,0,1,1,1.559,0.3536,0.870474,0.547807,0.959369
m.625,931,0,0,0,1,4.225,0.9699,0.596801,0.342509,0.917171
m.6258,470,3,4,2,3,10.283,1.0768,0.532902,0.308939,0.907606
m.6266,564,9,10,7,11,4.374,0.7919,0.698709,0.402269,0.931577
m.628,379,0,2,1,3,0.916,0.1074,0.950437,0.62063,0.966336
m.1261,196,1,1,1,1,-3.834,-0.7559,0.984763,0.775889,0.939531
m.6354,185,2,1,2,3,-5.366,-0.7278,0.983729,0.773275,0.941157
m.6361,1066,13,17,9,11,-1.056,-0.2424,0.999726,0.704497,0.961616
m.6363,693,2,2,1,4,2.048,0.2273,0.915631,0.586244,0.96405
m.637,726,3,3,4,3,-0.16,-0.0292,0.979112,0.656584,0.966391
m.6370,313,12,13,8,13,1.199,0.3509,0.871494,0.548648,0.959492
m.6400,282,0,0,0,2,-2.034,-0.2915,0.99987,0.713964,0.959894
m.6404,402,0,1,0,2,-8.735,-0.7775,0.98583,0.777832,0.938187
m.6408,422,0,0,0,1,-1.25,-0.1135,0.991085,0.6768,0.965139
m.10132,182,2,1,1,3,3.305,0.4227,0.844226,0.526019,0.95592
m.12641,187,0,1,0,0,-3.373,-0.6745,0.982904,0.768016,0.943939
m.6410,391,1,1,0,1,8.294,0.9155,0.629827,0.360358,0.921799
m.6414,454,3,3,2,3,-6.247,-0.7066,0.983227,0.771232,0.942306
m.6433,288,0,0,0,0,-5.293,-0.5945,0.984323,0.75928,0.94762
m.6495,278,1,2,1,3,10.396,1.7278,0.317699,0.13579,0.858677
m.650,554,4,4,4,4,14.111,1.2642,0.438288,0.254985,0.890457
m.6505,217,0,0,0,1,-9.419,-1.27,0.999999,0.809206,0.872201
m.651,113,5,5,5,7,5.943,1.68,0.327084,0.147554,0.860928
m.6511,281,5,6,5,6,-1.912,-0.3209,0.999238,0.719338,0.958796
m.6516,603,1,2,0,2,-2.885,-0.5382,0.986895,0.752431,0.950021
m.6522,302,10,11,6,4,-14.37,-1.5823,0.933551,0.817966,0.79233
m.12642,195,22,24,19,24,6.504,2.5897,0.063168,0.018453,0.831148
m.6524,587,18,20,17,18,1.548,0.5726,0.788988,0.477102,0.946907
m.6525,168,0,1,1,2,-4.169,-0.6636,0.98292,0.766888,0.944469
m.6534,473,0,0,0,1,0.6,0.1001,0.952258,0.622644,0.966407
m.6554,533,8,10,6,8,3.128,0.5312,0.803957,0.490837,0.949554
m.6562,225,2,2,0,2,-2.204,-0.5026,0.988986,0.747765,0.951502
m.657,677,9,7,6,12,-1.641,-0.2104,0.998725,0.698,0.962642
m.6574,602,5,5,6,10,-10.712,-1.924,0.875724,0.820865,0.677965
m.6603,632,1,3,2,3,-2.765,-0.5884,0.984545,0.758568,0.947886
m.6613,526,0,0,0,0,-13.295,-1.1157,1,0.801884,0.900941
m.6614,1203,6,10,4,6,-8.7,-1.2622,0.999999,0.808881,0.873881
m.6620,708,1,1,0,1,0.474,0.0551,0.962747,0.634837,0.966672
m.6630,215,0,0,0,0,4.78,0.602,0.778324,0.467248,0.944973
m.6645,175,1,1,1,1,-5.132,-0.6263,0.983402,0.762884,0.946208
m.6650,137,1,0,1,4,9.791,1.0461,0.550793,0.318364,0.910402
m.6654,227,2,4,3,4,-0.552,-0.1108,0.990775,0.676177,0.965193
m.6678,2678,2,1,1,2,-7.048,-1.3221,0.999999,0.811257,0.860278
m.6688,381,1,2,1,2,1.176,0.2296,0.914875,0.585562,0.963985
m.6690,123,2,2,2,2,4.243,0.7024,0.739641,0.433072,0.938091
m.6698,487,22,27,19,25,5.339,0.9912,0.583807,0.335654,0.915309
m.6705,727,13,17,11,11,14.445,2.1507,0.144866,0.055933,0.842994
m.671,663,0,0,0,1,6.446,0.4888,0.819465,0.504726,0.952155
