Protein	Len	S0	S0	S0	S0	S0	S0	S0	S0	S1	S1	S1	S1	S1	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.16901	126	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	-0.799	-0.8222	0.998465	0.545824	0.999924
m.16910	2217	10	10	13	12	9	6	12	8	5	16	4	7	14	6	18	3	1.198	1.2252	0.000000	0.000000	0.651713
m.16955	391	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	1	-0.585	-0.5776	0.999353	0.447040	0.997278
m.16994	221	4	3	3	3	4	4	4	3	5	4	5	2	4	4	6	3	0.794	0.6844	0.000310	0.000019	0.734697
m.16997	579	6	15	15	16	8	8	14	17	11	26	15	16	24	15	20	19	1.353	1.7003	0.000000	0.000000	0.616102
m.17002	969	1	1	2	2	1	2	2	1	1	1	1	0	4	1	2	1	-0.425	-0.3981	0.979771	0.313612	0.996584
m.17007	211	2	2	0	1	2	2	1	1	0	0	0	0	0	0	2	0	-0.756	-0.7583	0.994652	0.528533	0.998683
m.17032	119	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	-0.644	-0.5825	0.999172	0.449977	0.997244
m.1706	388	0	0	2	0	1	0	0	2	1	2	0	1	2	1	2	2	-0.059	-0.0523	0.507382	0.064098	0.939694
m.17099	205	0	2	1	1	0	0	2	1	1	4	0	0	1	1	3	3	-0.028	-0.0266	0.452659	0.053843	0.932049
m.171	2522	2	1	0	0	1	1	3	0	1	2	2	0	5	1	3	0	0.149	0.1594	0.140633	0.012031	0.872016
m.17101	439	3	5	7	4	2	2	2	5	4	2	8	3	4	4	4	5	0.626	0.5500	0.002143	0.000135	0.763263
m.17110	253	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.770	-0.7321	0.994279	0.519905	0.998111
m.17128	1219	2	0	2	0	0	2	2	1	3	3	3	2	2	2	3	2	-0.044	-0.0429	0.487287	0.060194	0.936933
m.1714	264	0	0	2	1	1	1	2	2	3	2	1	2	2	2	1	1	-0.210	-0.2181	0.823452	0.162957	0.978941
m.17144	187	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	-0.725	-0.7125	0.994373	0.512805	0.997744
m.17178	533	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	-0.682	-0.6183	0.997678	0.470157	0.997073
m.17196	197	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.728	-0.6759	0.995226	0.497968	0.997259
m.17237	424	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	-0.588	-0.5426	1.000000	0.424840	0.997552
m.17242	566	0	2	2	1	1	2	0	0	0	2	1	0	0	1	2	1	-0.447	-0.4054	0.982299	0.319794	0.996817
m.17244	319	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	-0.749	-0.7076	0.994444	0.510939	0.997663
m.1729	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.638	-0.6159	0.997779	0.468875	0.997079
m.17297	163	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.563	-0.5109	0.999578	0.402940	0.997766
m.173	389	86	126	124	115	85	89	123	108	144	110	130	138	101	132	112	104	1.336	3.3575	0.000000	0.000000	0.584416
m.17323	421	21	20	21	21	18	19	18	21	19	16	14	19	17	20	16	13	0.948	0.8721	0.000014	0.000001	0.700263
m.1733	1264	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	-0.811	-0.8236	0.998603	0.546149	0.999937
m.17333	372	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.858	-0.7094	0.994401	0.511629	0.997692
m.17346	797	2	2	3	1	3	2	0	2	1	3	2	1	2	2	1	1	-0.200	-0.1802	0.763126	0.135541	0.971820
m.1736	553	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	-0.542	-0.5072	0.999422	0.400278	0.997784
m.17361	189	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.724	-0.6776	0.995187	0.498704	0.997275
m.17363	155	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.733	-0.6360	0.996867	0.479305	0.997060
m.17386	142	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	-0.671	-0.6371	0.996807	0.479856	0.997061
m.17418	331	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.637	-0.6001	0.998471	0.460180	0.997140
m.17427	215	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	-0.671	-0.6224	0.997489	0.472325	0.997065
m.17435	484	10	15	15	15	9	11	17	12	16	18	11	12	11	13	14	10	1.617	1.9197	0.000000	0.000000	0.607096
m.17466	666	9	12	12	12	10	12	12	10	14	12	8	18	11	18	15	6	1.991	2.6178	0.000000	0.000000	0.591903
m.17473	414	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.758	-0.6348	0.996918	0.478702	0.997059
m.17476	386	0	1	1	1	1	0	0	0	1	1	1	0	1	1	2	2	-0.524	-0.4467	0.992861	0.353926	0.997650
m.17496	405	2	2	3	2	2	4	4	1	4	3	4	3	4	3	5	4	0.695	0.6746	0.000360	0.000022	0.736661
m.17508	148	0	1	1	1	0	1	0	1	0	2	1	1	1	1	1	1	-0.540	-0.5199	0.999855	0.409325	0.997714
m.17509	429	3	3	4	3	3	3	3	2	3	4	5	5	3	3	3	4	0.771	0.7009	0.000241	0.000015	0.731429
m.17514	369	1	3	2	2	1	1	1	1	1	1	1	1	1	1	3	1	-0.388	-0.3714	0.968508	0.290748	0.995471
m.17521	185	12	14	19	17	9	11	17	12	16	18	15	15	15	17	16	17	1.584	1.6820	0.000000	0.000000	0.617014
m.17527	348	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	-0.497	-0.4286	0.988974	0.339167	0.997379
m.17547	505	6	5	6	6	6	7	7	6	6	7	5	5	7	4	6	3	0.817	0.9165	0.000006	0.000000	0.692984
m.17560	348	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	-0.707	-0.6426	0.996559	0.482578	0.997070
m.17562	293	0	0	0	0	0	0	0	1	0	0	2	0	1	1	1	2	-0.586	-0.6164	0.997747	0.469143	0.997077
m.17572	133	4	3	3	4	3	2	3	3	2	3	3	3	2	3	4	5	0.403	0.3509	0.023681	0.001672	0.813498
m.17577	207	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-0.345	-0.3328	0.945901	0.257377	0.993046
m.17582	562	2	8	4	8	2	3	7	4	7	7	2	7	6	6	4	1	0.513	0.5546	0.002014	0.000127	0.762223
m.17587	233	2	1	1	3	1	3	2	1	1	1	1	1	2	2	4	2	-0.042	-0.0330	0.466203	0.056274	0.933981
m.17595	424	5	8	10	10	6	6	9	8	9	10	8	9	11	12	7	4	1.398	1.4445	0.000000	0.000000	0.631785
m.17598	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.653	-0.5916	0.998821	0.455321	0.997186
m.17599	105	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	-0.764	-0.6667	0.995562	0.493901	0.997183
m.17609	155	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.452	-0.4365	0.990799	0.345651	0.997514
m.1761	2437	0	5	6	2	2	4	2	2	2	8	2	2	10	2	12	4	0.613	0.5843	0.001340	0.000084	0.755620
m.17615	183	1	2	1	3	2	2	1	1	1	1	1	1	2	2	1	0	-0.530	-0.4897	0.998370	0.387400	0.997839
m.17619	306	0	0	0	0	0	0	0	1	3	0	1	1	0	1	0	1	-0.695	-0.5910	0.998849	0.454973	0.997189
m.17634	303	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	-0.860	-0.8292	0.999167	0.547425	0.999977
m.17642	405	3	4	6	3	3	2	3	3	7	3	5	4	4	5	5	5	1.030	0.9928	0.000002	0.000000	0.681259
m.17646	144	0	0	1	1	0	0	0	1	1	0	1	1	0	1	1	1	-0.614	-0.6184	0.997674	0.470210	0.997073
m.17653	215	3	3	5	5	2	3	4	3	3	5	2	2	3	2	4	3	0.161	0.1370	0.167018	0.014729	0.879336
m.17655	964	2	2	2	4	1	0	5	0	1	1	0	2	3	1	2	0	-0.227	-0.2121	0.814549	0.158452	0.977896
m.17662	137	0	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	-0.512	-0.4507	0.993583	0.357139	0.997692
m.17663	669	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.723	-0.6166	0.997734	0.469250	0.997077
m.17682	122	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	1	-0.743	-0.6281	0.997225	0.475289	0.997059
m.17683	465	1	1	3	1	1	1	1	2	0	1	0	0	1	0	2	0	-0.551	-0.4887	0.998304	0.386650	0.997840
m.17686	418	4	5	0	6	2	2	4	2	4	0	0	2	1	1	0	0	-0.230	-0.2006	0.796785	0.149986	0.975805
m.17688	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.555	-0.5023	0.999190	0.396719	0.997805
m.17700	509	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	-0.899	-0.8027	0.996819	0.541074	0.999645
m.17718	670	5	9	7	9	3	5	8	6	15	13	9	15	11	13	14	8	2.241	1.9222	0.000000	0.000000	0.607011
m.17739	255	8	9	15	10	6	9	8	11	8	12	9	8	10	9	11	10	1.724	1.6822	0.000000	0.000000	0.617004
m.17758	659	1	0	0	1	1	1	2	0	1	2	0	0	1	1	1	0	-0.612	-0.5759	0.999411	0.446011	0.997290
m.17769	574	0	3	1	1	0	0	2	3	2	1	2	2	1	4	3	2	0.147	0.1307	0.175035	0.015575	0.881403
m.17776	322	1	1	0	1	3	2	2	1	2	3	3	1	3	1	2	1	-0.122	-0.1097	0.628862	0.091922	0.955496
m.17784	409	1	1	0	2	0	0	0	0	0	0	1	1	0	1	1	1	-0.585	-0.5626	0.999776	0.437786	0.997392
m.17789	102	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	-0.674	-0.6220	0.997504	0.472114	0.997066
m.17794	846	13	17	22	12	12	12	13	14	23	18	17	25	19	20	17	13	1.388	1.7097	0.000000	0.000000	0.615644
m.17804	580	6	15	14	13	8	7	14	7	16	11	14	19	10	16	11	10	1.575	1.3958	0.000000	0.000000	0.635615
m.17812	263	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	1	-0.599	-0.5460	1.000000	0.427089	0.997525
m.17821	322	21	28	27	27	19	23	30	29	31	25	25	25	22	30	26	22	1.926	2.1485	0.000000	0.000000	0.600548
m.17836	548	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	-0.648	-0.6033	0.998342	0.461976	0.997124
m.17857	135	3	0	1	1	1	1	0	2	2	2	0	0	2	1	1	0	-0.446	-0.4458	0.992695	0.353200	0.997639
m.17859	221	1	2	1	2	1	1	2	0	0	1	1	1	1	0	1	0	-0.703	-0.6064	0.998216	0.463699	0.997111
m.17885	208	3	4	3	3	3	4	3	2	4	5	2	3	4	3	4	3	0.339	0.3448	0.025269	0.001792	0.815213
m.17895	500	3	4	3	4	3	3	4	5	2	3	8	6	6	5	5	4	0.493	0.5043	0.003907	0.000251	0.773867
m.17897	385	1	3	1	1	1	1	4	0	2	2	2	2	2	1	2	1	-0.559	-0.4881	0.998259	0.386200	0.997841
m.17910	625	0	1	1	0	1	0	2	3	1	1	0	2	1	1	2	0	-0.512	-0.4677	0.996142	0.370578	0.997811
m.1793	310	0	1	1	1	1	1	2	1	1	2	1	2	1	2	1	2	-0.208	-0.2047	0.803220	0.152978	0.976563
m.17930	292	1	0	0	0	1	1	0	1	1	1	0	1	2	1	1	0	-0.370	-0.3404	0.951003	0.263947	0.993606
m.17939	224	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	-0.694	-0.6141	0.997870	0.467906	0.997084
m.1796	557	5	13	11	11	7	7	10	8	14	10	11	11	9	11	13	12	1.611	1.7896	0.000000	0.000000	0.612031
m.17967	175	2	1	3	1	1	1	2	1	1	2	2	2	2	2	1	1	-0.154	-0.1605	0.728175	0.122337	0.967646
m.17970	233	1	2	1	1	0	0	2	1	3	3	1	3	2	2	1	0	-0.174	-0.1606	0.728359	0.122402	0.967668
m.17977	658	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	-0.650	-0.5804	0.999262	0.448724	0.997258
m.17984	639	5	9	7	7	7	6	7	8	8	7	8	6	6	8	6	5	1.305	1.4641	0.000000	0.000000	0.630330
m.17992	724	5	13	13	11	8	7	11	12	12	8	10	9	11	8	11	9	1.485	1.5383	0.000000	0.000000	0.625237
m.18001	225	2	0	3	0	1	0	0	2	0	0	0	0	1	0	1	0	-0.477	-0.4298	0.989263	0.340156	0.997401
m.18002	175	0	0	0	0	1	2	2	0	2	0	0	1	1	0	0	1	-0.735	-0.7081	0.994434	0.511131	0.997671
m.18003	350	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.620	-0.5455	1.000000	0.426759	0.997529
m.18008	238	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	-0.513	-0.4723	0.996700	0.374150	0.997827
m.18009	870	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	-0.621	-0.5700	0.999575	0.442400	0.997334
m.1802	545	0	0	2	0	1	0	1	1	1	1	0	1	1	1	0	0	-0.901	-0.8730	0.999988	0.556265	1.000000
m.18040	327	4	7	7	6	8	7	6	5	9	7	7	7	9	7	8	5	1.048	1.1852	0.000000	0.000000	0.656146
m.18048	376	5	10	11	10	9	6	7	5	10	7	12	8	6	15	9	10	1.409	1.5179	0.000000	0.000000	0.626574
m.1806	594	1	1	1	1	0	0	1	0	2	1	0	1	2	2	2	0	-0.327	-0.3348	0.947274	0.259105	0.993197
m.18060	194	0	0	1	1	0	0	1	0	2	1	2	1	1	2	1	0	-0.239	-0.2023	0.799468	0.151223	0.976121
m.18062	181	1	3	4	5	3	3	3	6	4	3	7	5	4	5	4	5	0.924	0.7834	0.000064	0.000004	0.715795
m.18064	292	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	-0.560	-0.4674	0.996105	0.370344	0.997809
m.18070	421	2	2	2	1	2	3	1	3	1	3	1	1	0	1	1	3	-0.437	-0.3475	0.955467	0.270091	0.994092
m.1809	261	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	-0.936	-0.9184	0.999971	0.563490	1.000000
m.18090	289	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	-0.747	-0.6965	0.994644	0.506578	0.997497
m.1811	272	6	6	4	7	6	6	5	3	6	4	5	4	6	5	5	7	0.740	0.7919	0.000056	0.000003	0.714250
m.18144	177	0	1	3	0	0	0	1	1	2	1	1	1	0	2	1	4	-0.593	-0.5177	0.999818	0.407776	0.997728
m.18155	470	9	5	6	5	8	6	8	3	5	7	5	7	7	8	7	5	1.339	1.6096	0.000000	0.000000	0.620909
m.1816	454	1	2	0	2	1	1	3	0	1	1	0	0	2	0	1	0	-0.585	-0.5567	0.999903	0.434038	0.997439
m.18174	206	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	-0.615	-0.4940	0.998683	0.390607	0.997831
m.18183	178	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	-0.700	-0.5562	0.999917	0.433718	0.997443
m.18203	117	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-0.684	-0.5896	0.998921	0.454159	0.997198
m.18216	767	0	1	0	0	0	0	2	0	3	1	0	4	3	3	4	1	0.344	0.3226	0.031858	0.002300	0.821545
m.18230	315	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	-0.698	-0.6114	0.997987	0.466443	0.997092
m.18280	786	2	5	5	4	3	3	4	2	1	2	0	2	3	2	4	0	-0.048	-0.0469	0.495831	0.061834	0.938113
m.18288	378	2	4	1	2	0	1	4	2	3	3	3	5	2	4	3	4	0.737	0.6377	0.000624	0.000038	0.744216
m.18294	121	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	-0.597	-0.5388	1.000000	0.422303	0.997581
m.18326	402	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.609	-0.5527	0.999966	0.431464	0.997472
m.18336	196	3	3	2	2	2	2	3	4	3	1	1	5	2	2	1	1	0.150	0.1348	0.169788	0.015020	0.880058
m.1834	596	8	7	7	6	6	4	7	7	7	6	10	6	6	5	8	11	0.879	0.7451	0.000120	0.000007	0.722909
m.18355	140	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	-0.457	-0.4216	0.987170	0.333370	0.997237
m.18362	249	2	3	5	4	1	0	4	6	7	5	6	6	4	9	5	6	1.362	1.0225	0.000001	0.000000	0.676966
m.18366	538	6	9	9	6	7	5	9	6	6	8	6	6	8	8	6	3	0.614	0.6175	0.000837	0.000052	0.748463
m.18370	247	1	2	0	1	0	1	1	1	0	1	1	1	1	0	0	0	-0.619	-0.6209	0.997535	0.471535	0.997067
m.18373	191	2	0	4	0	2	3	0	2	1	1	0	1	0	2	0	1	-0.772	-0.6750	0.995266	0.497576	0.997251
m.18387	243	3	3	3	2	2	2	2	4	0	3	1	0	2	0	3	0	-0.422	-0.4401	0.991557	0.348584	0.997566
m.1839	150	2	1	0	1	2	2	1	0	0	0	2	0	0	0	0	1	-0.834	-0.8913	0.999992	0.559397	1.000000
m.184	376	86	122	117	113	85	89	121	101	142	109	126	143	109	137	110	104	2.480	1.8678	0.000000	0.000000	0.608936
m.18406	213	2	1	3	1	2	1	0	2	2	2	1	3	1	3	3	2	-0.122	-0.1107	0.630923	0.092469	0.955753
m.18408	135	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	-0.802	-0.7659	0.994878	0.530860	0.998858
m.18439	485	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	-0.505	-0.4389	0.991308	0.347608	0.997549
m.1846	234	0	1	0	0	0	0	1	0	1	0	2	1	0	0	1	1	-0.662	-0.6162	0.997760	0.469035	0.997078
m.18462	162	0	0	0	1	2	1	1	0	0	1	1	0	1	1	1	0	-0.694	-0.6934	0.994723	0.505325	0.997456
m.18470	326	5	9	3	6	4	4	6	5	6	3	5	5	2	5	5	5	1.014	1.0645	0.000000	0.000000	0.671156
m.18491	290	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	-0.732	-0.6546	0.996031	0.488338	0.997111
m.18493	251	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	-0.912	-0.7908	0.996032	0.537955	0.999413
m.1850	391	1	2	2	1	0	1	2	1	1	3	0	1	0	0	1	1	-0.487	-0.4387	0.991268	0.347445	0.997546
m.18511	317	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.616	-0.5747	0.999431	0.445281	0.997299
m.18531	393	0	1	1	0	0	0	0	0	0	1	2	0	1	1	1	1	-0.576	-0.5438	1.000000	0.425636	0.997543
m.18543	325	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.471	-0.4181	0.986195	0.330455	0.997157
m.18550	321	2	3	2	4	3	4	2	4	3	4	2	2	2	4	2	2	0.141	0.1345	0.170168	0.015060	0.880156
m.18553	252	3	4	3	3	2	2	4	2	3	2	4	3	2	3	1	3	0.332	0.3442	0.025430	0.001804	0.815382
m.18556	357	10	10	10	7	11	9	9	9	7	9	8	9	7	8	9	7	1.080	0.8584	0.000018	0.000001	0.702576
m.18584	365	1	0	1	1	1	1	0	0	1	0	0	0	1	0	2	1	-0.587	-0.5718	0.999540	0.443508	0.997321
m.18619	214	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	-0.597	-0.5894	0.998929	0.454042	0.997199
m.1862	270	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	2	-0.029	-0.0248	0.448859	0.053173	0.931503
m.1866	1135	3	2	4	6	2	3	3	5	6	4	8	5	3	4	4	6	0.848	0.8117	0.000040	0.000002	0.710697
m.18667	123	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	-0.730	-0.6351	0.996907	0.478853	0.997059
m.18729	206	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	-0.464	-0.4426	0.992070	0.350613	0.997600
m.1874	125	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.532	-0.4252	0.988121	0.336357	0.997313
m.18748	201	4	4	4	5	5	6	4	4	4	6	5	5	5	5	5	5	0.784	0.7343	0.000142	0.000009	0.724960
m.18767	961	3	2	0	5	4	4	1	3	2	3	1	4	5	2	7	1	0.590	0.4675	0.006203	0.000406	0.782784
m.1881	292	7	18	16	15	8	8	16	13	15	9	24	18	8	18	13	23	2.057	1.7422	0.000000	0.000000	0.614116
m.18818	131	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	1	-0.545	-0.5582	0.999868	0.434997	0.997427
m.18819	1444	19	22	29	29	19	19	24	20	24	28	23	25	29	21	29	25	2.479	2.8089	0.000000	0.000000	0.589528
m.18825	839	21	28	23	22	21	21	20	26	29	21	22	24	21	28	20	20	2.164	2.2167	0.000000	0.000000	0.598957
m.18834	354	2	2	2	2	3	3	2	3	3	3	2	3	4	1	4	1	0.358	0.3064	0.037564	0.002749	0.826256
m.1884	645	2	2	1	3	3	3	1	1	2	4	1	1	3	2	5	3	0.011	0.0100	0.377167	0.041430	0.920706
m.18862	137	2	0	1	0	3	1	0	1	3	4	4	3	2	3	2	3	0.264	0.2306	0.077248	0.006077	0.849245
m.1889	383	0	0	1	0	0	0	0	1	1	1	0	0	2	0	1	0	-0.523	-0.4938	0.998672	0.390458	0.997831
m.18898	207	6	7	6	8	7	8	7	6	5	8	6	6	8	7	8	6	1.359	1.4213	0.000000	0.000000	0.633571
m.18909	204	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	-0.781	-0.7112	0.994392	0.512313	0.997722
m.18940	324	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	-0.802	-0.6333	0.996972	0.477945	0.997058
m.18969	102	0	2	2	1	0	0	2	3	2	2	1	1	2	2	2	1	-0.143	-0.1399	0.689323	0.109357	0.962951
m.1897	265	3	1	2	1	1	1	2	1	2	1	5	2	1	2	2	5	0.099	0.1040	0.211954	0.019631	0.890181
m.18995	284	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	-0.718	-0.6932	0.994726	0.505244	0.997453
m.18998	315	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	-0.596	-0.4790	0.997432	0.379303	0.997841
m.190	135	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	-0.827	-0.6617	0.995763	0.491632	0.997149
m.19020	385	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	-0.456	-0.3677	0.966678	0.287557	0.995282
m.1903	378	2	2	2	3	2	4	2	3	2	2	4	4	4	4	3	4	0.642	0.5536	0.002042	0.000129	0.762448
m.19033	252	15	18	19	21	14	15	19	15	18	19	14	20	18	17	18	16	2.033	1.3645	0.000000	0.000000	0.638247
m.19068	541	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.596	-0.5409	1.000000	0.423708	0.997565
m.19079	424	1	0	1	1	0	0	1	1	1	3	0	1	1	2	1	0	-0.273	-0.2091	0.809999	0.156222	0.977361
m.19080	266	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	2	-0.502	-0.4562	0.994483	0.361526	0.997741
m.19105	387	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	-0.804	-0.7751	0.995230	0.533574	0.999069
m.19106	321	1	0	0	0	0	0	1	1	1	1	0	1	2	0	2	1	-0.519	-0.4062	0.982564	0.320469	0.996841
m.1911	462	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	-0.577	-0.5494	1.000000	0.429318	0.997498
m.19148	194	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	-0.872	-0.7390	0.994306	0.522271	0.998255
m.19151	186	2	8	7	8	2	3	7	4	5	5	6	7	6	7	6	4	0.924	0.9589	0.000003	0.000000	0.686345
m.19166	267	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	-0.458	-0.4104	0.983908	0.324006	0.996960
m.19195	126	1	2	2	1	1	1	1	1	2	2	2	2	1	2	1	1	-0.329	-0.2881	0.908742	0.219170	0.988851
m.19225	469	5	9	4	6	5	4	4	2	4	3	3	7	3	2	4	2	0.665	0.5984	0.001099	0.000068	0.752553
m.19242	719	8	4	7	5	9	8	3	6	9	10	6	9	8	7	10	5	0.949	0.9330	0.000005	0.000000	0.690364
m.1925	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.581	-0.5494	1.000000	0.429318	0.997498
m.19271	554	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	-0.565	-0.5032	0.999235	0.397375	0.997802
m.19281	105	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	-0.658	-0.6688	0.995493	0.494841	0.997199
m.1931	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.765	-0.6719	0.995368	0.496217	0.997224
m.1936	223	3	3	1	2	2	2	2	1	2	1	1	2	2	1	1	0	-0.390	-0.3387	0.949886	0.262477	0.993484
m.19360	173	3	3	2	4	3	4	3	3	5	3	5	5	4	4	3	5	0.787	0.6854	0.000305	0.000019	0.734498
m.19365	277	6	3	4	4	4	3	4	6	4	5	3	5	7	5	6	7	0.708	0.6615	0.000439	0.000027	0.739314
m.19391	189	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	-0.689	-0.6353	0.996899	0.478954	0.997059
m.19416	143	2	3	5	2	2	3	3	3	7	3	5	6	5	7	3	3	0.746	0.8121	0.000040	0.000002	0.710626
m.19419	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.605	-0.5676	0.999659	0.440914	0.997353
m.19423	152	0	1	1	1	1	1	2	0	1	0	2	2	0	1	0	1	-0.598	-0.6055	0.998254	0.463201	0.997115
m.19446	282	2	1	1	0	2	2	2	3	3	4	0	1	4	2	2	3	0.095	0.0981	0.220751	0.020637	0.892123
m.19454	152	2	2	3	2	2	1	2	2	2	1	3	1	2	2	2	1	0.081	0.0758	0.256056	0.024836	0.899449
m.19455	354	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-0.646	-0.5895	0.998925	0.454101	0.997198
m.19460	144	5	4	5	5	5	6	5	3	5	6	4	6	5	6	5	6	1.023	1.1290	0.000000	0.000000	0.662826
m.19461	242	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	-0.636	-0.5564	0.999912	0.433846	0.997442
m.19463	429	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.721	-0.6908	0.994796	0.504263	0.997422
m.19469	629	0	1	2	0	0	1	0	0	1	0	1	1	1	1	0	0	-0.581	-0.5536	0.999942	0.432045	0.997464
m.19483	336	1	0	0	1	2	2	0	0	0	1	1	0	1	0	1	0	-0.795	-0.6931	0.994727	0.505203	0.997452
m.19487	501	2	2	3	2	1	2	3	2	2	2	1	1	1	1	2	1	-0.520	-0.4656	0.995862	0.368937	0.997801
m.19494	241	1	2	1	2	1	2	1	1	0	1	1	1	1	1	2	1	-0.607	-0.5716	0.999544	0.443386	0.997322
m.19495	508	7	6	8	8	10	9	8	9	11	7	6	9	9	8	9	4	0.900	0.7887	0.000059	0.000004	0.714830
m.19496	684	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	-0.797	-0.7090	0.994412	0.511476	0.997686
m.195	212	0	0	2	0	0	0	1	1	0	0	0	1	1	0	1	0	-0.762	-0.6542	0.996056	0.488150	0.997109
m.1950	311	3	3	4	4	2	4	4	3	1	4	2	2	2	2	5	4	0.460	0.4532	0.007386	0.000487	0.786345
m.19503	183	1	0	0	0	0	0	0	1	0	0	1	2	1	1	2	1	-0.308	-0.2839	0.904585	0.215644	0.988374
